INSERT INTO `zhiyezhuang_tagindex` VALUES('1','唐山工作服定做','2','2023','160','7','99','1341824530','1339732001','1261761377');
INSERT INTO `zhiyezhuang_tagindex` VALUES('22','静电消除器','3','22','2','0','1','1341646041','1339116944','1261761364');
INSERT INTO `zhiyezhuang_tagindex` VALUES('23','除静电器','3','36','1','0','0','1341864036','1341864036','1261761362');
INSERT INTO `zhiyezhuang_tagindex` VALUES('24','除静电除尘设备','3','24','2','1','1','1339124454','1339124454','1261761362');
INSERT INTO `zhiyezhuang_tagindex` VALUES('25','静电消除设备','3','25','1','0','2','1339816699','1338534831','1261761364');
INSERT INTO `zhiyezhuang_tagindex` VALUES('26','除静电设备','3','25','2','0','0','1340697217','1340697217','1261761364');
INSERT INTO `zhiyezhuang_tagindex` VALUES('27','静电装备','3','23','1','0','0','1340521335','1340521335','1261761364');
INSERT INTO `zhiyezhuang_tagindex` VALUES('28','防静电','3','61','3','4','4','1341844648','1341844648','1330492884');
INSERT INTO `zhiyezhuang_tagindex` VALUES('29','台式离子风机','3','34','1','1','1','1338858609','1338858609','1261761364');
INSERT INTO `zhiyezhuang_tagindex` VALUES('30','女星的衣服（图）','3','28','1','0','0','1341696614','1341696614','1261761090');
INSERT INTO `zhiyezhuang_tagindex` VALUES('31','她们','3','21','0','0','0','1338622131','1338622131','1261761091');
INSERT INTO `zhiyezhuang_tagindex` VALUES('32','都不喜欢戴罩罩(组图)','3','0','2','0','0','1261460724','1261460724','1261761091');
INSERT INTO `zhiyezhuang_tagindex` VALUES('33','再造服装潮流风暴','3','28','1','0','2','1339732758','1338775597','1261761093');
INSERT INTO `zhiyezhuang_tagindex` VALUES('34','别致的韩式OL职业装','3','24','1','0','0','1338933361','1338933361','1261761099');
INSERT INTO `zhiyezhuang_tagindex` VALUES('35','别致的韩式职业装','3','44','1','0','0','1341451262','1341451262','1261761101');
INSERT INTO `zhiyezhuang_tagindex` VALUES('36','您最希望的“1+1=11','3','0','1','0','0','1261460737','1261460737','1261460737');
INSERT INTO `zhiyezhuang_tagindex` VALUES('37','复古风味的职业装扮','3','21','1','0','0','1339707585','1339707585','1261761108');
INSERT INTO `zhiyezhuang_tagindex` VALUES('38','韩星完美校服造型大PK','3','33','1','0','0','1341167657','1341167657','1261761109');
INSERT INTO `zhiyezhuang_tagindex` VALUES('39','由你决定','3','119','1','0','4','1341882426','1341009809','1261761109');
INSERT INTO `zhiyezhuang_tagindex` VALUES('40','江南水乡服饰文化','3','68','1','1','1','1341141149','1341141149','1261761118');
INSERT INTO `zhiyezhuang_tagindex` VALUES('41','康巴的五采天衣','3','42','1','0','0','1341161216','1341161216','1261761120');
INSERT INTO `zhiyezhuang_tagindex` VALUES('42','中国职业装行业大事记','3','30','1','2','2','1339153915','1339153915','1261761127');
INSERT INTO `zhiyezhuang_tagindex` VALUES('43','五大流行面料动销','4','60','1','0','1','1341342377','1339707903','1261761151');
INSERT INTO `zhiyezhuang_tagindex` VALUES('44','　九月盛泽市场趋旺','4','20','1','0','0','1339733230','1339733230','1261761151');
INSERT INTO `zhiyezhuang_tagindex` VALUES('45','★§TY-838三层布胶','4','0','1','0','0','1261460778','1261460778','1261460778');
INSERT INTO `zhiyezhuang_tagindex` VALUES('46','防寒辅料§★','4','40','1','0','3','1341645223','1341008581','1261761152');
INSERT INTO `zhiyezhuang_tagindex` VALUES('47','劣质校服拷问监管漏洞','4','22','1','0','0','1338506270','1338506270','1261761157');
INSERT INTO `zhiyezhuang_tagindex` VALUES('48','exgate2007','4','122','0','7','11','1340725964','1339388173','1261460788');
INSERT INTO `zhiyezhuang_tagindex` VALUES('49','&#61548;','1','0','2','0','0','1261460791','1261460791','1261761369');
INSERT INTO `zhiyezhuang_tagindex` VALUES('50','初入职场着装','1','48','1','1','2','1341608363','1340429635','1261761371');
INSERT INTO `zhiyezhuang_tagindex` VALUES('51','纺织品检测中心','1','22','1','0','1','1339707567','1338085900','1261761171');
INSERT INTO `zhiyezhuang_tagindex` VALUES('52','都市丽人职业装','1','29','1','0','0','1341709030','1341709030','1261761172');
INSERT INTO `zhiyezhuang_tagindex` VALUES('53','PAREL','1','62','1','1','2','1340377328','1339733271','1261761175');
INSERT INTO `zhiyezhuang_tagindex` VALUES('54','”','1','87','1','1','9','1341709195','1340016862','1261761175');
INSERT INTO `zhiyezhuang_tagindex` VALUES('55','罗蒙西服团购','2','45','0','1','3','1341646412','1339317087','1261460814');
INSERT INTO `zhiyezhuang_tagindex` VALUES('56','隆庆祥企业集团','2','18','0','1','1','1341265514','1341265514','1261460817');
INSERT INTO `zhiyezhuang_tagindex` VALUES('57','2007，“中国年”序曲','2','23','0','1','1','1339708048','1339708048','1261761188');
INSERT INTO `zhiyezhuang_tagindex` VALUES('58','明确战略思路','2','47','1','0','2','1341139648','1340520762','1261761192');
INSERT INTO `zhiyezhuang_tagindex` VALUES('59','打造百年企业','2','22','1','0','0','1336050877','1336050877','1261761192');
INSERT INTO `zhiyezhuang_tagindex` VALUES('60','满载收获辞旧岁','2','60','0','3','7','1340517391','1339352681','1261460830');
INSERT INTO `zhiyezhuang_tagindex` VALUES('61','欢歌笑语迎新春','2','26','0','1','2','1338304441','1336811288','1261460830');
INSERT INTO `zhiyezhuang_tagindex` VALUES('62','供应促销服','2','23','1','0','1','1340346978','1338775666','1261761193');
INSERT INTO `zhiyezhuang_tagindex` VALUES('63','学生校服','2','66','1','0','1','1340430667','1339034707','1261761193');
INSERT INTO `zhiyezhuang_tagindex` VALUES('64','红豆年年重奖专利发明','2','21','0','0','0','1341222302','1341222302','1261460838');
INSERT INTO `zhiyezhuang_tagindex` VALUES('65','FLOURISH','2','126','1','0','2','1341864165','1340854440','1261761196');
INSERT INTO `zhiyezhuang_tagindex` VALUES('66','GROUP品牌缘起','2','81','1','0','0','1339572740','1339572740','1261761196');
INSERT INTO `zhiyezhuang_tagindex` VALUES('67','供应公务员服装/西装','3','0','1','0','0','1261460846','1261460846','1261460846');
INSERT INTO `zhiyezhuang_tagindex` VALUES('68','女主管把职业装','3','51','1','0','0','1341474737','1341474737','1261761198');
INSERT INTO `zhiyezhuang_tagindex` VALUES('69','简单穿出甜美味','3','69','1','1','1','1341037981','1341037981','1261761198');
INSERT INTO `zhiyezhuang_tagindex` VALUES('70','金喜善演绎OL俏丽春装','3','59','1','0','1','1341231020','1338974716','1261761200');
INSERT INTO `zhiyezhuang_tagindex` VALUES('71','年后上班小西装不可少','3','29','1','0','0','1339040338','1339040338','1261761202');
INSERT INTO `zhiyezhuang_tagindex` VALUES('72','日本清新职业装','3','27','1','0','0','1340697347','1340697347','1261761205');
INSERT INTO `zhiyezhuang_tagindex` VALUES('73','融合妩媚元素','3','20','1','0','1','1340330573','1339037411','1261761205');
INSERT INTO `zhiyezhuang_tagindex` VALUES('74','纯翼品牌','3','30','0','0','1','1341477322','1340685903','1261460865');
INSERT INTO `zhiyezhuang_tagindex` VALUES('75','英国的习俗礼仪','3','82','1','0','4','1341643869','1340359976','1261761214');
INSERT INTO `zhiyezhuang_tagindex` VALUES('76','完美优雅职业装扮','3','39','1','1','1','1341259433','1341259433','1261761215');
INSERT INTO `zhiyezhuang_tagindex` VALUES('77','几款职业秋装','3','58','1','0','0','1341069584','1341069584','1261761220');
INSERT INTO `zhiyezhuang_tagindex` VALUES('78','PANTONE色卡服装','4','115','1','2','2','1338300234','1338300234','1261761222');
INSERT INTO `zhiyezhuang_tagindex` VALUES('79','+家居棉布版策划手册','4','0','2','0','0','1261460876','1261460876','1261761222');
INSERT INTO `zhiyezhuang_tagindex` VALUES('80','功能面料春装登场','4','25','1','0','0','1340697263','1340697263','1261761230');
INSERT INTO `zhiyezhuang_tagindex` VALUES('81','Texgate','4','214','1','0','2','1341846049','1340725962','1261761234');
INSERT INTO `zhiyezhuang_tagindex` VALUES('82','World','4','163','1','0','4','1341587657','1340740194','1261761235');
INSERT INTO `zhiyezhuang_tagindex` VALUES('83','TEXTECH','4','94','1','0','0','1338507696','1338507696','1261761238');
INSERT INTO `zhiyezhuang_tagindex` VALUES('84','外发牛仔装加工','4','31','1','0','1','1338535080','1336730562','1261761241');
INSERT INTO `zhiyezhuang_tagindex` VALUES('85','网上团购省钱不省事','4','51','1','0','1','1341882441','1341095673','1261761243');
INSERT INTO `zhiyezhuang_tagindex` VALUES('86','大学生找工作开销大','4','23','1','0','0','1341912434','1341912434','1261761244');
INSERT INTO `zhiyezhuang_tagindex` VALUES('87','出租求职装可成新商机','4','41','1','0','3','1339707509','1338085816','1261761244');
INSERT INTO `zhiyezhuang_tagindex` VALUES('88','静电设备','8','153','1','0','0','1341646006','1341646006','1261761251');
INSERT INTO `zhiyezhuang_tagindex` VALUES('89','防静电装备','8','66','1','2','2','1338168954','1338168954','1261761251');
INSERT INTO `zhiyezhuang_tagindex` VALUES('90','离子风棒','8','86','1','0','0','1340626965','1340626965','1261761251');
INSERT INTO `zhiyezhuang_tagindex` VALUES('91','差异型品牌塑建的核心','1','26','1','0','0','1341883138','1341883138','1261761255');
INSERT INTO `zhiyezhuang_tagindex` VALUES('92','企业需要三重底','1','57','1','0','2','1338920348','1338023988','1261761262');
INSERT INTO `zhiyezhuang_tagindex` VALUES('93','民族服装的文化回归','1','76','1','2','5','1340982558','1339503886','1261761268');
INSERT INTO `zhiyezhuang_tagindex` VALUES('94','我国服装行业的特点','1','33','1','1','2','1341643768','1340083604','1261761274');
INSERT INTO `zhiyezhuang_tagindex` VALUES('95','江苏阳光抱团共赢','1','26','1','1','1','1341562618','1341562618','1261761282');
INSERT INTO `zhiyezhuang_tagindex` VALUES('96','12件外套1条连衣裙','1','33','1','0','0','1341689730','1341689730','1261761285');
INSERT INTO `zhiyezhuang_tagindex` VALUES('97','真人示范百搭基本款','1','19','1','0','0','1340846957','1340846957','1261761285');
INSERT INTO `zhiyezhuang_tagindex` VALUES('98','山东如意变身并购大鳄','2','75','1','0','1','1341201503','1339731536','1261761295');
INSERT INTO `zhiyezhuang_tagindex` VALUES('99','服企爱上“以货易货”','1','43','1','0','2','1339663146','1338168910','1261761286');
INSERT INTO `zhiyezhuang_tagindex` VALUES('100','CVC阻燃面料','2','116','1','1','1','1340978548','1340978548','1261761298');
INSERT INTO `zhiyezhuang_tagindex` VALUES('101','阻燃面料的骄傲!','2','0','2','0','0','1261460954','1261460954','1261761298');
INSERT INTO `zhiyezhuang_tagindex` VALUES('102','罗蒙新传','2','94','1','1','6','1341742797','1339306563','1261761304');
INSERT INTO `zhiyezhuang_tagindex` VALUES('103','海关制服的变化历史','2','29','1','0','2','1339707635','1338775680','1261761309');
INSERT INTO `zhiyezhuang_tagindex` VALUES('104','纺织服装:市场与产业','2','0','2','0','0','1261460976','1261460976','1261761316');
INSERT INTO `zhiyezhuang_tagindex` VALUES('105','唯有联手互动才能共赢','2','30','1','0','1','1339153906','1338008809','1261761316');
INSERT INTO `zhiyezhuang_tagindex` VALUES('106','与中国职业装产业同行','1','33','1','1','1','1341592955','1341592955','1261761377');
INSERT INTO `zhiyezhuang_tagindex` VALUES('107','2009年宝鸟职业装秀','1','23','0','0','1','1341147016','1340151510','1261460994');
INSERT INTO `zhiyezhuang_tagindex` VALUES('108','很中国，很时尚','1','14','0','0','0','1341619578','1341619578','1261460994');
INSERT INTO `zhiyezhuang_tagindex` VALUES('109','职场新人','6','38','1','1','2','1339707984','1338921765','1261758960');
INSERT INTO `zhiyezhuang_tagindex` VALUES('110','您最希望的“1+1=11','3','0','1','0','0','1261761104','1261761104','1261761104');
INSERT INTO `zhiyezhuang_tagindex` VALUES('111','★§TY-838三层布胶','4','0','1','0','0','1261761152','1261761152','1261761152');
INSERT INTO `zhiyezhuang_tagindex` VALUES('112','唐山职业装','7','86','1','1','1','1339294462','1339294462','1263361318');
INSERT INTO `zhiyezhuang_tagindex` VALUES('113','唐山 西方舞蹈服装','10','66','1','0','0','1341724728','1341724728','1266637207');
INSERT INTO `zhiyezhuang_tagindex` VALUES('114','演艺服装  山寨春晚','1','23','1','0','1','1339040515','1338108336','1266714984');
INSERT INTO `zhiyezhuang_tagindex` VALUES('115','唐山 校服','7','25','1','0','1','1341619784','1339117174','1266818965');
INSERT INTO `zhiyezhuang_tagindex` VALUES('116','唐山 西服','7','182','1','1','4','1341788020','1340733212','1266819246');
INSERT INTO `zhiyezhuang_tagindex` VALUES('117','唐山 环卫服','7','116','1','0','0','1341051114','1341051114','1266819886');
INSERT INTO `zhiyezhuang_tagindex` VALUES('118','唐山 舞蹈 服装','10','84','1','0','0','1341882181','1341882181','1266820299');
INSERT INTO `zhiyezhuang_tagindex` VALUES('119','唐山 厂矿 工作服','5','63','1','0','2','1341761453','1341028721','1266889783');
INSERT INTO `zhiyezhuang_tagindex` VALUES('120','中国 民族文化 服饰','10','27','1','0','1','1341717374','1339187871','1267157474');
INSERT INTO `zhiyezhuang_tagindex` VALUES('121','中国 服装 文化 特点','10','59','1','2','2','1338304444','1338304444','1267157865');
INSERT INTO `zhiyezhuang_tagindex` VALUES('122','中国 藏族 文化','10','26','1','0','0','1338775817','1338775817','1267158097');
INSERT INTO `zhiyezhuang_tagindex` VALUES('123','衬衫 领带 男人','10','54','1','3','0','1340982680','1341536718','1267158581');
INSERT INTO `zhiyezhuang_tagindex` VALUES('124','职业装 联系','7','79','1','0','0','1341301189','1341301189','1267159515');
INSERT INTO `zhiyezhuang_tagindex` VALUES('125','职业装 办公室 技巧','7','36','1','2','3','1339732953','1338339818','1267159822');
INSERT INTO `zhiyezhuang_tagindex` VALUES('126','唐山 职业装 清规戒律','7','39','1','1','2','1340893561','1340176332','1267160001');
INSERT INTO `zhiyezhuang_tagindex` VALUES('127','职业装 唐山','7','105','1','2','3','1339982190','1338433932','1267160287');
INSERT INTO `zhiyezhuang_tagindex` VALUES('128','唐山 职业装 教师','7','77','1','0','0','1340733379','1340733379','1267160606');
INSERT INTO `zhiyezhuang_tagindex` VALUES('129','唐山 职业装 技巧','7','93','1','0','2','1341643593','1339117177','1267160925');
INSERT INTO `zhiyezhuang_tagindex` VALUES('130','唐山 防护服 图片','8','81','1','0','0','1337884312','1337884312','1267256151');
INSERT INTO `zhiyezhuang_tagindex` VALUES('131','唐山 防护服 服装','8','111','1','3','4','1340982421','1339879450','1267256541');
INSERT INTO `zhiyezhuang_tagindex` VALUES('132','防护服 唐山','8','116','1','1','1','1341165692','1341165692','1267256898');
INSERT INTO `zhiyezhuang_tagindex` VALUES('133','唐山 防护服 鉴别','8','113','1','1','2','1341218603','1339732114','1267257413');
INSERT INTO `zhiyezhuang_tagindex` VALUES('134','唐山 防护服','8','137','1','0','0','1340705747','1340705747','1267257619');
INSERT INTO `zhiyezhuang_tagindex` VALUES('135','工作服 唐山 防护服','8','43','1','0','0','1339730651','1339730651','1267257783');
INSERT INTO `zhiyezhuang_tagindex` VALUES('136','唐山 防护服 时尚','8','43','1','0','1','1341704728','1339707858','1267258069');
INSERT INTO `zhiyezhuang_tagindex` VALUES('137','面料知识与技巧  唐山','3','26','1','0','0','1336856857','1336856857','1267424047');
INSERT INTO `zhiyezhuang_tagindex` VALUES('138','T恤衫  文化历史','3','37','1','0','2','1339862880','1339708063','1267424516');
INSERT INTO `zhiyezhuang_tagindex` VALUES('139','职业装 唐山 面料','7','142','1','7','7','1341531122','1341531122','1267753503');
INSERT INTO `zhiyezhuang_tagindex` VALUES('140','唐山 职业装 换季','7','56','1','0','0','1341643594','1341643594','1267754413');
INSERT INTO `zhiyezhuang_tagindex` VALUES('141','唐山 职业装面料 特点','1','44','1','0','2','1340430629','1339707860','1267925558');
INSERT INTO `zhiyezhuang_tagindex` VALUES('142','中西 服饰文化之比较','3','35','2','0','0','1339222886','1339222886','1276078544');
INSERT INTO `zhiyezhuang_tagindex` VALUES('143','22种职业装穿法','1','31','1','0','0','1340159268','1340159268','1275892054');
INSERT INTO `zhiyezhuang_tagindex` VALUES('144','唐山 女性职业装穿法','1','45','1','1','1','1338506643','1338506643','1275892276');
INSERT INTO `zhiyezhuang_tagindex` VALUES('145','西服 三种场合的穿法','1','47','1','0','2','1341667659','1339154170','1275892542');
INSERT INTO `zhiyezhuang_tagindex` VALUES('146','职业装 穿法9大误区','1','36','2','0','0','1340697447','1340697447','1275892810');
INSERT INTO `zhiyezhuang_tagindex` VALUES('147','女性 职业装 搭配穿法','1','50','1','0','4','1341643252','1339228662','1275893001');
INSERT INTO `zhiyezhuang_tagindex` VALUES('148','8种男士职业装 新穿法','6','24','1','0','0','1336708805','1336708805','1275893972');
INSERT INTO `zhiyezhuang_tagindex` VALUES('149','浅谈 职业装 的穿法','6','63','1','2','2','1341585690','1341585690','1275894165');
INSERT INTO `zhiyezhuang_tagindex` VALUES('150','职业装的3大搭配穿法','6','57','1','0','3','1341267839','1339225204','1275894337');
INSERT INTO `zhiyezhuang_tagindex` VALUES('151','男士西服的穿法','6','31','1','0','0','1338955517','1338955517','1275894502');
INSERT INTO `zhiyezhuang_tagindex` VALUES('152','教你认识制服面料','6','27','1','0','1','1341335002','1339988980','1275894624');
INSERT INTO `zhiyezhuang_tagindex` VALUES('153','唐山 西装的穿法','6','29','1','0','1','1337952046','1335496788','1275895323');
INSERT INTO `zhiyezhuang_tagindex` VALUES('154','男人的魅力','6','25','1','1','3','1341218760','1339707766','1275895323');
INSERT INTO `zhiyezhuang_tagindex` VALUES('155','服饰流行前线','3','36','1','1','1','1340228627','1340228627','1276076187');
INSERT INTO `zhiyezhuang_tagindex` VALUES('156','中西方服饰文化差异','3','37','1','1','1','1339117341','1339117341','1276078939');
INSERT INTO `zhiyezhuang_tagindex` VALUES('157','中国服饰-现代服饰','3','0','1','0','0','1276079130','1276079130','1276079130');
INSERT INTO `zhiyezhuang_tagindex` VALUES('158','如何适应  你的主管','6','32','1','0','0','1341643389','1341643389','1276256430');
INSERT INTO `zhiyezhuang_tagindex` VALUES('159','什么是系统思考?','6','0','1','0','0','1276256626','1276256626','1276256626');
INSERT INTO `zhiyezhuang_tagindex` VALUES('160','职场新人生活的主旋律','6','20','1','0','1','1337596165','1335261703','1276257105');
INSERT INTO `zhiyezhuang_tagindex` VALUES('161','一个高职生的升职神话','6','29','1','0','1','1339153745','1337829374','1276258590');
INSERT INTO `zhiyezhuang_tagindex` VALUES('162','新员工转正笔试题','6','30','1','2','2','1340697413','1340697413','1276435797');
INSERT INTO `zhiyezhuang_tagindex` VALUES('163','面试技巧','6','34','1','0','0','1341520894','1341520894','1276436393');
INSERT INTO `zhiyezhuang_tagindex` VALUES('164','英文面试 工作总结','6','70','1','0','2','1341743370','1340605166','1276437096');
INSERT INTO `zhiyezhuang_tagindex` VALUES('165','小故事里的职场道理','6','40','1','0','0','1340869184','1340869184','1276437228');
INSERT INTO `zhiyezhuang_tagindex` VALUES('166','职场  小故事  大智慧','6','24','1','0','0','1333563620','1333563620','1276437475');
INSERT INTO `zhiyezhuang_tagindex` VALUES('167','唐山  10个职场小故事','6','67','1','2','5','1340582080','1338917063','1276437705');
INSERT INTO `zhiyezhuang_tagindex` VALUES('168','职业装','6','4019','215','8','4','1341687317','1341818458','1341586142');
INSERT INTO `zhiyezhuang_tagindex` VALUES('169','山寨','6','33','2','0','0','1339300475','1339300475','1276653166');
INSERT INTO `zhiyezhuang_tagindex` VALUES('170','世博 制服','6','56','1','3','3','1339822385','1339822385','1276653439');
INSERT INTO `zhiyezhuang_tagindex` VALUES('171','世界杯 服装','6','31','2','0','0','1340261724','1340261724','1276655982');
INSERT INTO `zhiyezhuang_tagindex` VALUES('172','世界杯 在、服装','6','36','1','0','1','1341299086','1340522422','1276654213');
INSERT INTO `zhiyezhuang_tagindex` VALUES('173','世界杯 服装 距离','6','55','1','1','2','1340604520','1339731974','1276654512');
INSERT INTO `zhiyezhuang_tagindex` VALUES('174','世界杯 服装 品牌','6','48','1','0','2','1340360487','1339037578','1276654622');
INSERT INTO `zhiyezhuang_tagindex` VALUES('175','服饰','1','43','11','4','7','1341519849','1340872167','1337780482');
INSERT INTO `zhiyezhuang_tagindex` VALUES('176','服装','1','2468','57','1','26','1341771943','1340850769','1338884931');
INSERT INTO `zhiyezhuang_tagindex` VALUES('177','服装 色彩','1','38','1','0','0','1339573958','1339573958','1276656336');
INSERT INTO `zhiyezhuang_tagindex` VALUES('178','色彩 服装','1','38','1','0','1','1340993578','1339040341','1276656418');
INSERT INTO `zhiyezhuang_tagindex` VALUES('179','鞋 服装','1','40','1','1','1','1341643772','1341643772','1276656541');
INSERT INTO `zhiyezhuang_tagindex` VALUES('180','衣服','1','5052','19','15','58','1341469181','1339317057','1332850752');
INSERT INTO `zhiyezhuang_tagindex` VALUES('181','帆布鞋 服装','1','30','2','0','0','1340521060','1340521060','1276656988');
INSERT INTO `zhiyezhuang_tagindex` VALUES('182','职业装 魅力','3','50','1','0','3','1341617503','1339732981','1276736355');
INSERT INTO `zhiyezhuang_tagindex` VALUES('183','时装与世博会的历史','3','33','1','2','2','1340360767','1340360767','1276947805');
INSERT INTO `zhiyezhuang_tagindex` VALUES('184','常用的服装陈列之方法','3','30','1','0','1','1339707501','1338255333','1276948968');
INSERT INTO `zhiyezhuang_tagindex` VALUES('185','牛仔服长盛不衰的秘诀','1','50','1','0','1','1341744814','1340604678','1276950629');
INSERT INTO `zhiyezhuang_tagindex` VALUES('186','牛仔裤的出生  历史','3','53','1','0','10','1341398379','1339037128','1276951335');
INSERT INTO `zhiyezhuang_tagindex` VALUES('187','服饰风情穿在各国各地','3','32','1','0','1','1333704673','1331833295','1277460323');
INSERT INTO `zhiyezhuang_tagindex` VALUES('188','满族服饰的穿法和习俗','3','37','1','0','2','1341864074','1339710407','1277460917');
INSERT INTO `zhiyezhuang_tagindex` VALUES('189','藏族服饰   传统习俗','3','45','1','2','3','1340522031','1339733474','1277461366');
INSERT INTO `zhiyezhuang_tagindex` VALUES('190','回族服饰最纯洁的服饰','3','50','1','0','1','1341218508','1340429683','1277461665');
INSERT INTO `zhiyezhuang_tagindex` VALUES('191','美国    服饰自主','3','48','1','1','2','1337911303','1336156236','1277462079');
INSERT INTO `zhiyezhuang_tagindex` VALUES('192','牛仔裤面料知识','4','32','1','0','0','1339117014','1339117014','1277639049');
INSERT INTO `zhiyezhuang_tagindex` VALUES('193','如何选购的西装面料','4','55','1','0','0','1340228657','1340228657','1277641796');
INSERT INTO `zhiyezhuang_tagindex` VALUES('194','工作服的性质','4','33','1','1','1','1339116847','1339116847','1277642625');
INSERT INTO `zhiyezhuang_tagindex` VALUES('195','厂矿工作服图','5','24','1','0','0','1339222989','1339222989','1277945085');
INSERT INTO `zhiyezhuang_tagindex` VALUES('196','演义服装图片','10','25','1','0','0','1341619777','1341619777','1277947728');
INSERT INTO `zhiyezhuang_tagindex` VALUES('197','企业文化的作用','2','35','1','0','0','1341882942','1341882942','1277949241');
INSERT INTO `zhiyezhuang_tagindex` VALUES('198','人才对企业非常重要','2','24','1','0','0','1339042737','1339042737','1277949475');
INSERT INTO `zhiyezhuang_tagindex` VALUES('199','怎样营造企业文化','2','28','1','0','0','1340430053','1340430053','1277949762');
INSERT INTO `zhiyezhuang_tagindex` VALUES('200','社会和职场礼仪的分析','6','31','1','0','0','1338506566','1338506566','1277950933');
INSERT INTO `zhiyezhuang_tagindex` VALUES('201','涂料 工作服','1','26','0','1','0','1340228687','1340693747','1297476068');
INSERT INTO `zhiyezhuang_tagindex` VALUES('202','工作服  公司','1','19','0','0','0','1341619573','1341619573','1297476592');
INSERT INTO `zhiyezhuang_tagindex` VALUES('203','工作服 防护','1','33','0','0','0','1341645631','1341645631','1297476915');
INSERT INTO `zhiyezhuang_tagindex` VALUES('204','工作服 职业装','1','416','14','3','10','1341468474','1340956453','1337427788');
INSERT INTO `zhiyezhuang_tagindex` VALUES('205','面试 职业装','1','20','0','0','0','1341619481','1341619481','1297477370');
INSERT INTO `zhiyezhuang_tagindex` VALUES('206','工作服','1','4159','263','25','110','1341328993','1339382878','1341531783');
INSERT INTO `zhiyezhuang_tagindex` VALUES('207','工作服 知识','1','21','2','0','0','1339910196','1339910196','1299485708');
INSERT INTO `zhiyezhuang_tagindex` VALUES('208','意义 工作服','1','27','1','2','4','1341471681','1339707961','1299485099');
INSERT INTO `zhiyezhuang_tagindex` VALUES('209','技巧 工作服','1','31','1','0','1','1341700977','1340604798','1299485399');
INSERT INTO `zhiyezhuang_tagindex` VALUES('210','工作服 重要性','1','121','1','5','6','1340927694','1340555140','1299485519');
INSERT INTO `zhiyezhuang_tagindex` VALUES('211','工作服 号型','1','31','1','0','0','1340360864','1340360864','1299485584');
INSERT INTO `zhiyezhuang_tagindex` VALUES('212','校服','5','22','3','0','0','1338435579','1338435579','1330056595');
INSERT INTO `zhiyezhuang_tagindex` VALUES('213','劳保','5','38','4','1','1','1341429594','1341429594','1341182814');
INSERT INTO `zhiyezhuang_tagindex` VALUES('214','保安','5','24','3','0','2','1340588839','1338621490','1338162005');
INSERT INTO `zhiyezhuang_tagindex` VALUES('215','西服','7','958','46','4','28','1341620589','1339903072','1341182814');
INSERT INTO `zhiyezhuang_tagindex` VALUES('216','酒店','7','21','7','2','2','1341584086','1341584086','1330234506');
